pincode,state,city,district,lat,lng
400001,Maharashtra,Mumbai,Mumbai,18.9388,72.8354
400601,Maharashtra,Thane,Thane,19.2183,72.9781
411001,Maharashtra,Pune,Pune,18.5204,73.8567
411057,Maharashtra,Pune,Pune,18.5912,73.7389
440001,Maharashtra,Nagpur,Nagpur,21.1458,79.0882
110001,Delhi,New Delhi,Central Delhi,28.6139,77.2090
110075,Delhi,New Delhi,South West Delhi,28.5921,77.0460
560001,Karnataka,Bengaluru,Bengaluru Urban,12.9716,77.5946
560066,Karnataka,Bengaluru,Bengaluru Urban,12.9698,77.7500
570001,Karnataka,Mysuru,Mysuru,12.2958,76.6394
380001,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714
395007,Gujarat,Surat,Surat,21.1702,72.8311
396191,Gujarat,Vapi,Valsad,20.3893,72.9106
201301,Uttar Pradesh,Noida,Gautam Buddha Nagar,28.5355,77.3910
226001,Uttar Pradesh,Lucknow,Lucknow,26.8467,80.9462
273001,Uttar Pradesh,Gorakhpur,Gorakhpur,26.7606,83.3732
122001,Haryana,Gurugram,Gurugram,28.4595,77.0266
121001,Haryana,Faridabad,Faridabad,28.4089,77.3178
700001,West Bengal,Kolkata,Kolkata,22.5726,88.3639
500001,Telangana,Hyderabad,Hyderabad,17.3850,78.4867
500032,Telangana,Hyderabad,Ranga Reddy,17.4239,78.3489
302001,Rajasthan,Jaipur,Jaipur,26.9124,75.7873
302020,Rajasthan,Jaipur,Jaipur,26.8719,75.7660
600001,Tamil Nadu,Chennai,Chennai,13.0827,80.2707
600119,Tamil Nadu,Chennai,Chennai,12.8996,80.2209
682001,Kerala,Kochi,Ernakulam,9.9312,76.2673
411014,Maharashtra,Pune,Pune,18.5590,73.7868
462001,Madhya Pradesh,Bhopal,Bhopal,23.2599,77.4126
452001,Madhya Pradesh,Indore,Indore,22.7196,75.8577
800001,Bihar,Patna,Patna,25.5941,85.1376
160001,Chandigarh,Chandigarh,Chandigarh,30.7333,76.7794
